Alterno;Nombre;P Normal;Marca;Categoria;Unidades Vendidas;Valor Total;Valor Promedio;fecha de compra;Precio 2;Pagar
656004 134;OVERGRIP REFILL MULTICOLORS 656004 134;90.00;BABOLAT;ACCESORIOS;12;960.00;80.00;14/8/2017;L50.00;
A22NH;T. BRADST PT OX DK BRN A22NH # 7;2,790.00;TIMBERLAND;ZAPATO;12;30,671.00;2,555.92;22/4/2019;L2,590.00;COBRAR
360248 08;SANDALIA  PUMA  EPIC FLIP V2 WHT/BLK 360248 08 # 7;650.00;PUMA;SANDALIAS;12;7,262.50;605.21;30/1/2019;L590.00;
10061;T. 6IN PREM BT WHEAT YELLOW 10061 # 8.5;4,590.00;TIMBERLAND;ZAPATO;12;50,879.20;4,239.93;22/4/2019;L4,390.00;COBRAR
454500 101;T.N PICO 4 PSV WHT/BLU 454500 101 # 10.5C;1,390.00;NIKE;ZAPATO;12;15,424.00;1,285.33;22/2/2019;L1,290.00;
A12ES;T. LARCHMONT WP CHUKKA BRW A12ES # 7;2,990.00;TIMBERLAND;ZAPATO;12;32,647.00;2,720.58;22/4/2019;L2,790.00;COBRAR
AQ9952-002;T. NIKE STAR RUNNER JDI BLK AQ9952-002 # 10.5C;1,690.00;NIKE;ZAPATO;12;18,838.00;1,569.83;24/1/2019;L1,590.00;
RSM3-180AM BLACK;Z KENNET ON THE ROAD BLACK RSM3-180AM # 7.5;1,790.00;KENNETH COLE;ZAPATO;12;11,197.00;933.08;20/12/2018;L1,590.00;
15130;T. CHOCORUA TRAIL BROW 15130 # 7;3,850.00;TIMBERLAND;ZAPATO;12;40,875.50;3,406.29;22/4/2019;L3,550.00;COBRAR
A1SBY;T. ALTIMETER LEATHER ME ARGAN OIL A1SBY # 7.5;2,590.00;TIMBERLAND;ZAPATO;12;27,712.00;2,309.33;17/4/2019;L2,390.00;COBRAR
A1R29;Z.T CITY S EDGE WP BRW A1R29 # 7.5;3,890.00;TIMBERLAND;ZAPATO;12;41,718.46;3,476.54;28/1/2019;L3,650.00;
191487 01;T.P ENZO WEAVE BLACK 191487 01 # 7;2,190.00;PUMA;ZAPATO;12;23,668.00;1,972.33;30/1/2019;L1,990.00;
844868-406;T. NIKE TANJUN BLUE/MTLC GOLD 844868-406 # 10.5C;1,590.00;NIKE;ZAPATO;12;17,995.20;1,499.60;24/1/2019;L1,490.00;
015831 BLK;T. RS DAFY 2.5 ALL BLK 015831 # 6.5;990.00;RS PERFORMANCE;ZAPATO;11;10,537.00;957.91;13/5/2019;L890.00;ESTA BUENO
015832 NVY;T. RS DEFY 2.5 NVY/FUCHSIA 015832 # 5;990.00;RS PERFORMANCE;ZAPATO;11;10,390.00;944.55;13/5/2019;L890.00;ESTA BUENO
021958 01;GORRA PUMA MAPM BASEBALL CAP 021958 01;650.00;PUMA;ACCESORIOS;11;6,697.00;608.82;10/5/2019;L590.00;ESTA BUENO
A13HD;Z.T LARCHMONT CHUKKA BRW A13HD 7;2,990.00;TIMBERLAND;ZAPATO;11;29,375.50;2,670.50;22/4/2019;L2,790.00;COBRAR
A1N1K;T. KENDRICK CHELSEA BROW A1N1K # 7;3,750.00;TIMBERLAND;ZAPATO;11;37,188.50;3,380.77;22/4/2019;L3,390.00;COBRAR
A11MO;T. KEELE RIDGE BROW A11MO # 7;2,590.00;TIMBERLAND;ZAPATO;11;25,669.00;2,333.55;22/4/2019;L2,390.00;COBRAR
RWS1-203MT GOLD;ZAPATO KENNET SOUL MUSIC GOLD RWS1-203MT # 6;1,490.00;KENNETH COLE;ZAPATO;11;8,765.00;796.82;4/12/2018;L1,390.00;
832883-100;T. NIKE DOWNSHIFTER 6 WHT/WHT 832883-100 # 3.5;1,590.00;NIKE;ZAPATO;11;15,723.51;1,429.41;22/2/2019;L1,490.00;
367534 01;T.P INSURGE BLACK 367534 01 # 7;1,990.00;PUMA;ZAPATO;11;19,530.00;1,775.45;30/1/2019;L1,790.00;
876068-008;T. NIKE AIR MAX PRIME BLK/MTLC 876068-008 # 7;2,590.00;NIKE;ZAPATO;11;26,391.50;2,399.23;22/2/2019;L2,390.00;
844872-606;T. NIKE TANJUN BPV TRUE/PINK 844872-606 # 10.5;1,590.00;NIKE;ZAPATO;11;16,046.50;1,458.77;16/4/2019;L1,490.00;COBRAR
VN0A38G1UA7;VANS OLD SKOOL IRIDES BLU/LAVNDR VN0A38G1UA7 # 4;1,890.00;VANS;ZAPATO;11;19,540.50;1,776.41;2/2/2019;L1,790.00;
FOR-1617-L;GUANTE PARA PESAS FORTIS BLK/WHT FOR-1617-S   L;350.00;FORTIS;ACCESORIOS;11;3,583.50;325.77;4/3/2019;L290.00;
709910011;GORRO P/NADAR PLAIN FLAT SPEEDO BLUE 709910011;250.00;SPEEDO;ACCESORIOS;11;2,630.00;239.09;4/3/2019;L190.00;
A1NZR;T. FLYROAM TRAIL LOW BLACK A1NZR # 7;3,290.00;TIMBERLAND;ZAPATO;11;30,633.50;2,784.86;22/4/2019;L2,990.00;COBRAR
BV2071-023;GORRA NK AEROBILL L91 CAP GRAPHIC BV2071-023;690.00;NIKE;ROPA;11;7,111.00;646.45;15/4/2019;L650.00;COBRAR
PRO-FBL-300-BK/WHT;BALON FUTBOL PRO-FBL-300-BK/WHT # 3;490.00;PROFLITE;ACCESORIOS;11;5,119.00;465.36;4/3/2019;L450.00;
749794-010;T. NIKE MD RUNNER 2 BLK/WHT 749794-010 # 7;2,190.00;NIKE;ZAPATO;11;22,114.50;2,010.41;22/2/2019;L1,990.00;
916780 006;T.N CK RACER GREEN 916780 006 # 6.5;1,790.00;NIKE;ZAPATO;11;17,104.00;1,554.91;22/2/2019;L1,590.00;
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 11;3,590.00;TIMBERLAND;ZAPATO;11;35,184.50;3,198.59;22/4/2019;L3,290.00;COBRAR
AA4079 001;T.N LUNARSOLO BLK//WHT AA4079 001 # 6.5 ;2,590.00;NIKE;ZAPATO;11;25,128.60;2,284.42;22/2/2019;L2,390.00;
908998-001;T. W NIKE LUNAR APPARENT BLK/WHT 908998-001 # 6.5;2,390.00;NIKE;ZAPATO;11;24,440.50;2,221.86;22/2/2019;L2,190.00;
880840-603;T. NIKE WMNS FREE RN BRDX/MTLC 880840-603 # 6.5;2,590.00;NIKE;ZAPATO;11;25,359.50;2,305.41;22/2/2019;L2,390.00;
369400 01;S.P DIVECAT V2 BLACK 369400 01 # 7;650.00;PUMA;SANDALIAS;10;6,050.00;605.00;10/5/2019;L590.00;ESTA BUENO
192427 03;T.P RADIATE XT SLIP-ON PURPLE 192427 03 # 5.5;1,790.00;PUMA;ZAPATO;10;15,647.00;1,564.70;10/5/2019;L1,590.00;COBRAR
